nome,telefone,endereco,site,nicho,area,data_extração
Floripa Express Transportes - Motoboys e Fretes Expressos,554830281887,"R. São Vicente de Paula, 525 - Agronômica, Florianópolis - SC, 88025-330, Brazil",http://www.floripaexpress.com.br/,transportadora,Florianópolis,2025-05-21 10:30:55
transportes & mudanças souza,5548996430331,"Av. Gov. Ivo Silveira, 298 - Estreito, Florianópolis - SC, 88075-005, Brazil",http://www.transportesemudancassouza.com.br/,transportadora,Florianópolis,2025-05-21 10:30:55
A-Z LOG Fretes Mudanças e Transportes Especiais,5548999065111,"R. Padre Luiz Zuber, 55 - Capoeiras, Florianópolis - SC, 88000-000, Brazil",https://www.facebook.com/profile.php?id=100082536806974,transportadora,Florianópolis,2025-05-21 10:30:56
TVR Transportes,554830355414,"Condomínio CICOBI - R. Edgard Hoffmann, 39 - e 69 - Beira Rio, Biguaçu - SC, 88164-275, Brazil",http://www.tvrtransportes.com.br/,transportadora,Florianópolis,2025-05-21 10:30:56
Canasvieiras Transportes Ltda,554832662147,"Rod. Francisco Germano da Costa, 2970 - Canasvieiras, Florianópolis - SC, 88052-760, Brazil",http://www.canasvieirastc.com.br/,transportadora,Florianópolis,2025-05-21 10:30:56
Karpa Logistics - Jadlog,554830660511,"R. José Henrique Veras, 411 - Lagoa da Conceição, Florianópolis - SC, 88062-030, Brazil",,transportadora,Florianópolis,2025-05-21 10:30:57
DFL - Transferência de Cargas - Florianópolis,554830396060,"R. Padre Raulino Reitz, 195 - Serraria, São José - SC, 88113-120, Brazil",https://dfltransferenciadecargas.com.br/,transportadora,Florianópolis,2025-05-21 10:30:57
BASE FLORIPA TRANSPORTES,554830256033,"R. Heriberto Hulse, 4983 - galpão 12 - Serraria, São José - SC, 88115-000, Brazil",https://basefloripa.com.br/,transportadora,Florianópolis,2025-05-21 10:30:58
Aceville Transportes Florianópolis,554832469635,"SC-281, 2951 - GALPÃO 01 - Sertão do Maruim, São José - SC, 88122-001, Brazil",https://www.aceville.com.br/,transportadora,Florianópolis,2025-05-21 10:30:58
Cordeiro transportes (Interestaduais),5548996427236,"Av. das Rendeiras, 636 - Lagoa da Conceição, Florianópolis - SC, 88062-400, Brazil",http://cordeirotransportes.com.br/,transportadora,Florianópolis,2025-05-21 10:30:59
Reunidas Transportes Coletivos e Cargas,554832712400,"Av. Gov. Ivo Silveira, 2897 - Capoeiras, Florianópolis - SC, 88085-002, Brazil",http://www.reunidas.com.br/,transportadora,Florianópolis,2025-05-21 10:30:59
Frete floripa cia.costa transporte em geral,5548999472015,"Av. das Rendeiras, 1134 - Lagoa da Conceição, Florianópolis - SC, 88062-400, Brazil",,transportadora,Florianópolis,2025-05-21 10:31:00
Alfa Transportes Biguaçu,554832431590,"SC-407, 195 - Vendaval, Biguaçu - SC, 88164-169, Brazil",https://alfatransportes.com.br/,transportadora,Florianópolis,2025-05-21 10:31:00
Floripa Encomendas,554832070551,"R. Joaquim Carneiro, 135 - Sala 02 - Capoeiras, Florianópolis - SC, 88085-120, Brazil",,transportadora,Florianópolis,2025-05-21 10:31:01
Arlete Transportes Florianópolis/SC,554832856413,"R. Roney Henrique Heiderscheidt, 60 - Jardim Eldorado, Palhoça - SC, 88133-515, Brazil",http://www.arletetransportes.com.br/,transportadora,Florianópolis,2025-05-21 10:31:01
Azul Cargo,5548988010325,"Av. Dep. Diomício Freitas, 3393 - Carianos, Florianópolis - SC, 88047-400, Brazil",,transportadora,Florianópolis,2025-05-21 10:31:02
"Brasil Sul ""Encomendas""",554830650522,"R. Joaquim Carneiro, 600 - Capoeiras, Florianópolis - SC, 88085-120, Brazil",https://brasilsul.com.br/encomendas/,transportadora,Florianópolis,2025-05-21 10:31:02
Mudanças & Transportes Giva,5548999079840,"Servidão Antônio Irineu da Silva, 300 - Córrego Grande, Florianópolis - SC, 88037-600, Brazil",,transportadora,Florianópolis,2025-05-21 10:31:03
TESLLA LOGISTICA,551123893028,"R. Osaka, 1143/1145 - Jardim Japao, São Paulo - SP, 02124-041, Brazil",https://www.tesllatransportes.com.br/,transportadora,Florianópolis,2025-05-21 10:31:03
Exclusiva Cargas,551140034735,"Rua Carmina Ianetta Fanganiello, 177 - Parque Novo Mundo, São Paulo - SP, 02181-100, Brazil",http://www.excargas.com.br/,transportadora,Florianópolis,2025-05-21 10:31:04
Floripa Express Transportes - Motoboys e Fretes Expressos,554830281887,"R. São Vicente de Paula, 525 - Agronômica, Florianópolis - SC, 88025-330, Brazil",http://www.floripaexpress.com.br/,transportadora,Florianópolis,2025-05-21 10:30:55
transportes & mudanças souza,5548996430331,"Av. Gov. Ivo Silveira, 298 - Estreito, Florianópolis - SC, 88075-005, Brazil",http://www.transportesemudancassouza.com.br/,transportadora,Florianópolis,2025-05-21 10:30:55
