nome,telefone,endereco,site,nicho,area,data_extração
Floripa Express Transportes - Motoboys e Fretes Expressos,554830281887,"R. São Vicente de Paula, 525 - Agronômica, Florianópolis - SC, 88025-330, Brazil",http://www.floripaexpress.com.br/,transportadora,Florianópolis,2025-05-22 13:28:48
transportes & mudanças souza,5548996430331,"Av. Gov. Ivo Silveira, 298 - Estreito, Florianópolis - SC, 88075-005, Brazil",http://www.transportesemudancassouza.com.br/,transportadora,Florianópolis,2025-05-22 13:28:49
A-Z LOG Fretes Mudanças e Transportes Especiais,5548999065111,"R. Padre Luiz Zuber, 55 - Capoeiras, Florianópolis - SC, 88000-000, Brazil",https://www.facebook.com/profile.php?id=100082536806974,transportadora,Florianópolis,2025-05-22 13:28:49
TVR Transportes,554830355414,"Condomínio CICOBI - R. Edgard Hoffmann, 39 - e 69 - Beira Rio, Biguaçu - SC, 88164-275, Brazil",http://www.tvrtransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:50
Canasvieiras Transportes Ltda,554832662147,"Rod. Francisco Germano da Costa, 2970 - Canasvieiras, Florianópolis - SC, 88052-760, Brazil",http://www.canasvieirastc.com.br/,transportadora,Florianópolis,2025-05-22 13:28:50
BASE FLORIPA TRANSPORTES,554830256033,"R. Heriberto Hulse, 4983 - galpão 12 - Serraria, São José - SC, 88115-000, Brazil",https://basefloripa.com.br/,transportadora,Florianópolis,2025-05-22 13:28:51
Aceville Transportes Florianópolis,554832469635,"SC-281, 2951 - GALPÃO 01 - Sertão do Maruim, São José - SC, 88122-001, Brazil",https://www.aceville.com.br/,transportadora,Florianópolis,2025-05-22 13:28:51
Cordeiro transportes (Interestaduais),5548996427236,"Av. das Rendeiras, 636 - Lagoa da Conceição, Florianópolis - SC, 88062-400, Brazil",http://cordeirotransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:52
Frete floripa cia.costa transporte em geral,5548999472015,"Av. das Rendeiras, 1134 - Lagoa da Conceição, Florianópolis - SC, 88062-400, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:52
Floripa Encomendas,554832070551,"R. Joaquim Carneiro, 135 - Sala 02 - Capoeiras, Florianópolis - SC, 88085-120, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:52
Mudanças & Transportes Giva,5548999079840,"Servidão Antônio Irineu da Silva, 300 - Córrego Grande, Florianópolis - SC, 88037-600, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:53
Azul Cargo,5548988010325,"Av. Dep. Diomício Freitas, 3393 - Carianos, Florianópolis - SC, 88047-400, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:53
TESLLA LOGISTICA,551123893028,"R. Osaka, 1143/1145 - Jardim Japao, São Paulo - SP, 02124-041, Brazil",https://www.tesllatransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:54
frete florianopolis,5548984616747,"R. São Vicente de Paula, 560 - Agronômica, Florianópolis - SC, 88025-330, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:54
Granero Transportes - Florianópolis -SC,554832580975,"R. Padre Raulino Reitz, 213 - Areias, São José - SC, 88113-120, Brazil",https://www.granero.com.br/unidade?f=23d46886-44c7-4bba-8c8d-75f6300be950,transportadora,Florianópolis,2025-05-22 13:28:55
Exclusiva Cargas,551140034735,"Rua Carmina Ianetta Fanganiello, 177 - Parque Novo Mundo, São Paulo - SP, 02181-100, Brazil",http://www.excargas.com.br/,transportadora,Florianópolis,2025-05-22 13:28:55
Fretes Florianópolis,5548984131366,"Rod. Amaro Antônio Viêira, n:1973 - Itacorubi, Florianópolis - SC, 88034-102, Brazil",https://instagram.com/fretes_florianopolis?igshid=YmMyMTA2M2Y=,transportadora,Florianópolis,2025-05-22 13:28:56
Schmitt Fretes e Mudanças – Atendemos Grande Florianópolis e Viagens,5548984136384,"R. Palmira Laura Florêncio, 2452 - Real Parque, São José - SC, 88113-320, Brazil",https://api.whatsapp.com/send?phone=5548984136384&text=Ol%C3%A1!%20Encontrei%20voc%C3%AAs%20no%20Google%20gostaria%20de%20mais%20informa%C3%A7%C3%B5es.,transportadora,Florianópolis,2025-05-22 13:28:56
solution log transportes,554833445820,"R. Ventos do Moçambique, 115 - Brejaru, Florianópolis - SC, 88060, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:57
Frete fracionado e exclusivo | DIH TRANSPORTES,551140031347,"Centro Histórico de São Paulo - R. Sd. Romeu Coco, 109 - Parque Novo Mundo, São Paulo - SP, 02186-090, Brazil",http://dihtransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:57
Floripa Express Transportes - Motoboys e Fretes Expressos,554830281887,"R. São Vicente de Paula, 525 - Agronômica, Florianópolis - SC, 88025-330, Brazil",http://www.floripaexpress.com.br/,transportadora,Florianópolis,2025-05-22 13:28:48
transportes & mudanças souza,5548996430331,"Av. Gov. Ivo Silveira, 298 - Estreito, Florianópolis - SC, 88075-005, Brazil",http://www.transportesemudancassouza.com.br/,transportadora,Florianópolis,2025-05-22 13:28:49
